# Format: Record Type, Article Id, Linenumber, Text
T;435-36-8782;2;Non esse alias quaerat sint et ad perferendis tempora neque.;
T;069-84-6850;1;Fugiat ipsa temporibus nisi ut architecto voluptas atque ipsum tempore ipsam ut.;
T;029-37-3633;1;At hic delectus sit voluptas enim provident blanditiis quis atque.;
T;542-89-7781;4;In velit perferendis quia quo vel placeat recusandae amet facilis recusandae fugiat ipsa et amet voluptatem eos nostrum vel error blanditiis.;
T;010-04-9660;1;Voluptatum nisi deserunt earum atque enim sunt qui eum cumque ea non accusantium id repellat rerum molestiae in voluptatum autem dolores distinctio.;
T;010-04-9660;6;Fugiat magni aut qui provident minima laudantium nostrum consequatur et aut ipsam est accusamus neque illo doloremque.;
T;019-78-5441;4;Beatae possimus nemo incidunt corporis dolor illo porro magni rerum magni est iure aut iure et dolores.;
T;669-09-9254;4;Dicta recusandae nihil exercitationem enim qui veniam rerum alias alias fugiat est placeat.;
T;542-89-7781;2;Et quo quo voluptatum qui non sit et tempora autem magnam et sunt ad quo ullam aut sit nostrum accusamus soluta voluptatem.;
T;830-69-3170;0;The Little Foxes
T;019-78-5441;8;Veniam molestiae occaecati veritatis et aut voluptas natus delectus repellendus natus modi iusto pariatur.;
T;029-37-3633;2;Sint quidem est soluta et eaque quo repellat aliquid cum autem quibusdam ipsa libero eaque illum.;
T;542-89-7781;8;Et alias itaque veniam quae deserunt nesciunt animi similique dolores nihil illo nostrum sapiente provident voluptatibus qui consequuntur nobis quasi est enim.;
T;010-04-9660;18;Enim culpa tempore nobis aut exercitationem beatae ut id laudantium officiis quisquam eos itaque voluptas.;
T;669-09-9254;13;Ex itaque accusamus mollitia ad qui et quos sed ut ab et quaerat quia consequatur id quisquam suscipit aut tempora.;
T;000-19-5217;3;Laudantium laudantium quia quisquam minima eaque qui voluptates sint id debitis rerum itaque aut non facere rerum aut molestiae.;
T;069-84-6850;3;Eum et iure culpa quidem consequatur velit ut dolor corporis possimus voluptatem corrupti expedita itaque optio voluptas.;
T;010-04-9660;10;Dicta odit quam eligendi neque possimus aspernatur et aut quidem atque doloribus unde qui quisquam quos temporibus eveniet tempora voluptates illum officia dolores.;
T;010-04-9660;12;Sed vitae quia facere debitis minima maxime temporibus aut ut tempora quasi repellat ad provident consectetur exercitationem dolorem explicabo consectetur voluptatem et dolorem ipsum et beatae quis.;
T;019-78-5441;1;Autem labore expedita recusandae sit cum beatae nostrum quaerat deleniti voluptas sequi incidunt error provident minima cumque adipisci officiis molestiae illum corrupti velit.;
T;542-89-7781;7;Fugit voluptatum ullam maxime voluptates et neque ut minus totam possimus ea ipsum et repellendus qui voluptatem nam consectetur praesentium possimus ea repellat reprehenderit.;
T;669-09-9254;15;Occaecati aliquid adipisci delectus quaerat quo ab fugit quidem ut reiciendis sunt voluptate eaque architecto est adipisci et aliquid autem dolor aut sint.;
T;542-89-7781;3;Sed voluptatibus debitis ut nihil commodi ratione eos ut et eum enim ut deserunt aut rerum cum illum nam voluptates voluptatem.;
T;542-89-7781;12;Dolores possimus et debitis consequatur non non error vero quis deleniti et.;
T;010-04-9660;2;Labore est incidunt quidem sed.;
T;435-36-8782;7;Blanditiis et dolores veniam harum sunt ad dolorum sit.;
T;669-09-9254;6;Voluptas dolorem aut molestiae non fugit veritatis officia voluptatem eum corrupti consequatur quia nemo repellat vero aut eum ut omnis aspernatur a.;
T;669-09-9254;17;Aut reiciendis nisi molestiae occaecati ex excepturi dignissimos iure est ea et quidem qui assumenda rem aut quidem laborum itaque vitae.;
T;019-78-5441;6;Dolorem itaque eos velit blanditiis aspernatur eos voluptas quae quo repellendus qui est tempore rerum nesciunt sint officia rerum omnis quidem.;
T;435-36-8782;3;Aspernatur sint est quibusdam voluptates aperiam voluptates consequatur fugiat porro ratione illo praesentium mollitia.;
T;032-92-0186;1;Deserunt sint dolorem corrupti atque iure quia aut illo ducimus sapiente quaerat excepturi qui accusantium quis.;
T;010-04-9660;3;Rerum error recusandae aut aut facilis et consectetur ut rem quasi.;
T;669-09-9254;11;Officia eum amet perspiciatis sed a odio minima illum nihil eius.;
T;435-36-8782;8;Earum error tempore sunt odit a perferendis est accusantium omnis unde omnis quam non quas minima et a dicta ea laudantium molestiae.;
T;542-89-7781;17;Ad aspernatur facere nulla nesciunt ut.;
T;542-89-7781;16;Ipsum non tempora itaque soluta itaque libero explicabo numquam atque tenetur asperiores doloremque corporis corrupti maiores temporibus quo.;
T;019-78-5441;3;Tempore voluptas consequuntur sed.;
T;669-09-9254;8;Mollitia dolores tempora labore soluta sunt sit aut animi minus eveniet minus nobis qui sunt.;
T;000-19-5217;0;Noli Me Tangere
T;019-78-5441;9;Adipisci eius accusamus harum in et repellendus fugiat explicabo voluptatum labore et molestiae sint quisquam laborum.;
T;669-09-9254;12;Sunt beatae ipsum aperiam neque ut ut et alias nesciunt qui quo cupiditate quia.;
T;010-04-9660;15;Deleniti eum et in ut tenetur earum officia sint ut fugiat fugiat est similique numquam cumque ut et aut corrupti aut fugiat fuga.;
T;435-36-8782;10;Sint ea eum qui voluptatem nihil.;
T;032-92-0186;0;For Whom the Bell Tolls
T;029-37-3633;3;Esse qui rerum voluptate aut consequatur aut similique iste vitae eos necessitatibus.;
T;010-04-9660;8;Autem perspiciatis recusandae quaerat est incidunt aperiam.;
T;010-04-9660;5;Nemo iste rerum quas magni velit optio et et odio laborum sit.;
T;069-84-6850;0;For Whom the Bell Tolls
T;669-09-9254;5;Nihil incidunt ut aspernatur quam pariatur.;
T;542-89-7781;13;Adipisci rem facere sit et recusandae laudantium iusto aut et.;
T;029-37-3633;0;A Many-Splendoured Thing
T;019-78-5441;0;Surprised by Joy
T;669-09-9254;16;Veritatis aperiam harum laborum ipsa sint quasi quasi enim nulla iusto.;
T;019-78-5441;11;Facilis nihil soluta eius sed sunt dolores sapiente expedita officiis enim nesciunt nobis facilis modi et omnis ipsum corrupti eaque.;
T;010-04-9660;14;Autem velit rem culpa dolorum est ullam est culpa dignissimos fugiat cupiditate illum dolorem voluptatibus corrupti amet vel et.;
T;542-89-7781;15;Ut repellendus ullam magnam necessitatibus ex sint laboriosam.;
